"","Precinct","RegisteredVoters","BallotsCast","Turnout","Bill Schuette / Lisa Posthumus Lyons (REP)","Gretchen Whitmer / Garlin D. Gilchrist II (DEM)
","Bill Gelineau / Angelique Chaiser Thomas (LIB)","Todd Schleiger / Earl P. Lackie (UST)","Jennifer V. Kurland / Charin H. Davenport (GRN)","Keith Butkovich / Raymond Warner (NLP)","Mary Treder Lang (REP)","Jocelyn Benson (DEM)","Gregory Scott Stempfle (LIB)","Robert Gale (UST)","Tom Leonard (REP)","Dana Nessel (DEM)","Lisa Lane Gioia (LIB)","Gerald T. Van Sickle (UST)","Chris Graveline (NPA)","John James (REP)","Debbie Stabenow (DEM)","George E. Huffman III (UST)","Marcia Squier (GRN)","John Howard Wilhelm (NLP)","Bill Huizenga (REP)","Rob Davidson (DEM)","Ronald E. Graeser (UST)","Justin Amash (REP)","Cathy Albro (DEM)","Ted Gerrard (UST)","Aric Nesbitt (REP)","Garnet Lewis (DEM)","Erwin Haas (LIB)","Robert M. Alway (GRN)","Peter MacGregor (REP)","Craig Beach (DEM)","Nathan Hewer (LIB)","Chris Afendoulis (REP)","Winnie Brinks (DEM)","Robert VanNoller (LIB)","Louis Palus (WCP)","Steven Johnson (REP)","Ron Draayer (DEM)","Jamie Lewis (LIB)","Lynn Afendoulis (REP)","Bill Saxton (DEM)","Mark E. Huizenga (REP)","Meagan L. Carr (DEM)","Daniel Allen Schutte (REP)","David LaGrand (DEM)","Jacob Straley (GRN)","Amanda Brand (REP)","Rachel Hood (DEM)","Tommy Brann (REP)","Dana Knight (DEM)","Patty Malowney (LIB)","Brandon Hoezee (UST)","Thomas A. Albert (REP)","Lauren Taylor (DEM)","Sue Norman (NPA)","Tami Carlone (REP)","Richard Zeile (REP)","Judith P. Pritchett (DEM)","Tiffany Tilley (DEM)","Scotty Boman (LIB)","John J. Tatar (LIB)","Karen Adams (UST)","Douglas Levesque (UST)","Sherry A. Wells (GRN)","Mary Anne Hering (WCP)","Logan R. Smith (WCP)","AndreaFischer
          Newman  (REP)
","Andrew
          Richner (REP)
","Jordan
          Acker (DEM)
","Paul
          Brown (DEM)
","JamesLewis
          Hudler (LIB)
","John
          Jascob (LIB)
","Joe
          Sanger (UST)
","CrystalVan
          Sickle (UST)
","KevinA.
          Graves (GRN)
","MargeKatchmark
          Sallows (NLP)
","Dave
            Dutch (REP)
","Mike
            Miller (REP)
","BriannaT.
            Scott (DEM)
","KellyCharron
            Tebay  (DEM)
","Bruce
            Campbell  (LIB)
","Tim
            Orzechowski  (LIB)
","JanetM.
            Sanger  (UST)
","JohnPaul
            Sanger  (UST)
","Aaron
            Mariasy  (GRN)
","BridgetteR.
            Abraham-Guzman (NLP)
","Diane
           Dunaskiss (REP)
","David
           Nicholson (REP)
","BryanC.
           Barnhill (DEM)
","Anil
           Kumar (DEM)
","Jon
           Elgas  (LIB)
","JohnT.
           Hargenrader  (LIB)
","ChristineC.
           Schwartz (UST)
","MarcJoseph
           Sosnowski  (UST)
","TheodoreVonk  (REP)","DeborahHavens  (DEM)","EmilyPostBrieve  (REP)","JimSaalfeld  (REP)","AugustTreu  (DEM)","JillMartinez  (REP)","MonicaSparks  (DEM)","CharlotteAikens  (GRN)","JessicaAnnTyson  (REP)","BetsyMelton   (DEM)","KyleBrethauer  (REP)","CarolM.Hennessy  (DEM)","JoelHerbertTownsend  (REP)","JimTalen  (DEM)","JennaVandeKamp  (REP)","DavidBulkowski  (DEM)","CourtneyPanter  (REP)","RobertWomack  (DEM)","DanKoorndyk  (REP)","StephenWooden  (DEM)","LaurelAbraham  (REP)","PhilSkaggs  (DEM)","ThomasAntor  (REP)","JeremiahAnway  (DEM)","RogerC.Morgan  (REP)","DianeJones  (REP)","KariSmith  (DEM)","MandyBolter  (REP)","NevilleJ.Mark  (DEM)","StanStek  (REP)","PamDeGryse  (DEM)","StanPonstein  (REP)","MikeJohnson  (DEM)","HaroldVoorhees  (REP)","MattKallman  (REP)","BobSmith  (DEM)"
"68","Gaines Charter Township Precinct 8",2266,1430,"63%",863,514,19,7,7,2,863,493,31,12,876,446,29,14,17,874,510,10,12,4,NA,NA,NA,903,445,37,863,459,33,8,NA,NA,NA,NA,NA,NA,NA,848,461,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,769,707,412,380,53,29,25,10,8,32,27,731,733,400,348,33,32,19,29,15,16,739,719,407,350,34,31,32,23,15,12,754,703,365,348,38,30,41,24,NA,NA,1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Gaines Charter Township Precinct 9",1764,1133,"64%",536,574,13,0,4,0,532,563,12,2,551,521,18,5,12,562,551,3,7,0,NA,NA,NA,583,505,17,551,521,12,3,NA,NA,NA,NA,NA,NA,NA,534,532,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502,463,455,465,27,14,10,6,11,22,7,481,483,462,410,17,17,7,20,13,13,469,463,468,419,20,15,17,12,9,6,485,455,442,399,19,17,32,12,NA,NA,739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Grand Rapids Ward 1 Precinct 1",2432,1089,"44%",280,744,26,7,8,6,268,729,41,18,274,670,46,11,36,295,718,13,27,9,NA,NA,NA,321,684,33,NA,NA,NA,NA,NA,NA,NA,270,702,33,26,NA,NA,NA,NA,NA,NA,NA,243,733,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,211,571,556,46,32,22,9,28,50,28,236,205,539,522,39,38,12,20,47,28,221,216,570,498,48,34,23,13,33,23,221,202,524,526,47,36,37,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Grand Rapids Ward 1 Precinct 2",1324,516,"38%",89,388,18,6,9,1,104,372,17,10,100,346,31,8,12,118,364,6,18,1,NA,NA,NA,132,354,10,NA,NA,NA,NA,NA,NA,NA,106,359,14,14,NA,NA,NA,NA,NA,NA,NA,94,373,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,76,298,287,20,18,13,5,18,19,14,91,76,295,269,18,13,11,25,18,10,77,80,294,272,21,15,17,13,13,14,93,73,282,272,26,15,26,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Grand Rapids Ward 1 Precinct 3",1992,1336,"67%",396,899,17,4,4,2,419,871,17,5,431,825,29,6,15,445,864,5,10,1,NA,NA,NA,492,806,16,NA,NA,NA,NA,NA,NA,NA,411,878,15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428,865,NA,NA,NA,NA,NA,NA,NA,369,345,728,698,54,26,14,7,18,31,15,374,318,711,648,32,21,11,32,21,22,334,321,737,669,38,21,22,15,15,12,387,307,667,659,36,23,31,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Grand Rapids Ward 1 Precinct 4",1786,1157,"64%",242,871,12,7,9,2,240,862,26,10,249,829,21,7,21,267,846,5,22,5,NA,NA,NA,319,813,8,NA,NA,NA,NA,NA,NA,NA,236,866,15,13,NA,NA,NA,NA,NA,NA,NA,199,889,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,201,707,693,39,20,12,3,23,28,17,228,200,661,664,21,21,8,24,22,19,201,206,707,644,28,21,19,7,16,11,222,190,651,639,27,23,29,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Grand Rapids Ward 1 Precinct 5",1312,691,"52%",171,471,20,1,10,3,167,466,24,7,177,413,29,4,21,188,451,8,17,6,NA,NA,NA,210,437,14,NA,NA,NA,NA,NA,NA,NA,169,455,20,15,NA,NA,NA,NA,NA,NA,NA,161,450,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,133,360,354,26,17,16,4,28,31,20,146,138,337,332,21,18,5,13,32,20,127,140,362,336,22,17,13,6,21,15,151,119,338,347,29,17,18,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Grand Rapids Ward 1 Precinct 6",2149,1457,"67%",625,782,12,7,7,6,615,766,21,9,658,673,28,13,23,647,764,10,11,4,NA,NA,NA,699,690,22,NA,NA,NA,NA,NA,NA,NA,629,759,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653,734,NA,NA,NA,NA,NA,NA,NA,565,500,627,593,41,25,22,16,22,41,29,539,513,578,573,30,22,15,40,25,24,493,518,623,561,32,36,26,15,27,24,553,505,579,543,28,23,48,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534,776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Grand Rapids Ward 1 Precinct 7",937,622,"66%",278,312,14,2,4,5,278,298,19,10,292,278,11,4,7,294,300,2,8,3,NA,NA,NA,307,275,17,NA,NA,NA,NA,NA,NA,NA,286,302,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,288,NA,NA,NA,NA,NA,NA,NA,248,220,238,230,24,15,6,4,7,15,12,239,227,234,229,13,13,6,10,10,7,229,224,240,233,13,21,5,5,10,8,243,224,222,219,18,16,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA
"77","Grand Rapids Ward 1 Precinct 8",1265,920,"72%",313,549,27,7,12,3,320,549,32,6,328,513,29,8,17,330,553,9,11,5,NA,NA,NA,395,487,16,NA,NA,NA,NA,NA,NA,NA,328,542,18,10,NA,NA,NA,NA,NA,NA,NA,288,564,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,256,459,436,39,24,16,12,10,24,14,270,248,429,414,33,30,15,14,24,18,247,258,448,417,34,35,18,14,15,10,279,246,420,398,35,28,24,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Grand Rapids Ward 1 Precinct 9",2671,895,"33%",186,663,12,3,18,1,199,640,24,7,201,596,34,6,23,218,619,6,26,7,NA,NA,NA,232,618,15,NA,NA,NA,NA,NA,NA,NA,197,627,16,20,NA,NA,NA,NA,NA,NA,NA,185,640,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,165,504,509,26,21,10,2,33,43,16,201,160,517,467,22,19,11,31,32,9,164,165,543,464,32,19,18,5,22,20,197,159,485,491,33,20,28,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Grand Rapids Ward 1 Precinct 10",1757,1061,"60%",373,636,17,1,8,4,360,643,24,7,384,582,25,7,23,381,640,7,11,4,NA,NA,NA,418,578,20,NA,NA,NA,NA,NA,NA,NA,374,616,12,14,NA,NA,NA,NA,NA,NA,NA,331,652,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,276,536,506,33,14,19,5,22,37,17,309,278,503,498,22,15,14,26,30,20,291,304,518,474,29,23,15,10,22,13,312,271,511,455,30,28,30,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,577,NA,NA,NA,NA,NA
"80","Grand Rapids Ward 1 Precinct 11",819,634,"77%",305,310,5,4,6,0,299,306,13,4,312,281,9,3,6,303,316,3,5,0,NA,NA,NA,328,285,11,NA,NA,NA,NA,NA,NA,NA,309,304,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,301,NA,NA,NA,NA,NA,NA,NA,254,242,279,247,19,8,6,4,6,10,12,254,237,254,243,14,14,6,14,10,3,241,231,258,247,17,16,12,8,6,4,259,228,232,234,14,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,281,NA,NA,NA,NA,NA
"81","Grand Rapids Ward 1 Precinct 12",1895,732,"38%",150,532,17,11,8,1,152,525,23,15,157,492,25,11,12,180,499,6,20,4,NA,NA,NA,191,482,28,NA,NA,NA,NA,NA,NA,NA,155,502,17,22,NA,NA,NA,NA,NA,NA,NA,160,505,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,121,406,405,28,23,19,10,22,29,28,131,114,399,388,23,22,15,25,21,13,116,124,420,384,28,25,22,11,23,10,132,111,380,379,30,22,35,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Grand Rapids Ward 1 Precinct 13",2150,940,"43%",274,617,26,1,9,2,271,611,25,9,288,569,32,3,17,302,576,7,19,9,NA,NA,NA,329,560,22,NA,NA,NA,NA,NA,NA,NA,274,595,23,12,NA,NA,NA,NA,NA,NA,NA,270,591,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,236,491,464,50,35,9,3,16,28,13,251,221,466,440,38,29,9,24,23,13,245,235,490,447,38,35,12,6,11,15,250,222,443,456,30,25,32,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Grand Rapids Ward 1 Precinct 14",2101,1271,"60%",412,789,36,6,12,4,408,777,42,19,428,693,61,7,28,444,758,16,26,7,NA,NA,NA,520,682,31,NA,NA,NA,NA,NA,NA,NA,414,762,26,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429,760,NA,NA,NA,NA,NA,NA,NA,353,320,595,609,60,46,21,7,37,46,35,342,320,585,552,42,42,14,32,34,26,335,326,608,545,51,41,24,14,23,19,348,309,558,557,54,36,43,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Grand Rapids Ward 1 Precinct 15",2003,573,"28%",68,475,6,2,9,2,67,479,6,10,70,446,19,9,7,77,461,10,13,5,NA,NA,NA,80,462,15,NA,NA,NA,NA,NA,NA,NA,61,466,13,17,NA,NA,NA,NA,NA,NA,NA,61,475,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,51,377,387,7,12,9,8,11,27,20,63,53,397,367,8,11,9,20,11,8,56,58,406,357,16,7,16,6,10,13,63,54,398,363,14,8,26,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Grand Rapids Ward 1 Precinct 16",2074,678,"32%",96,543,11,1,12,4,96,547,14,9,99,510,14,9,15,103,534,6,13,7,NA,NA,NA,115,521,18,NA,NA,NA,NA,NA,NA,NA,87,534,13,23,NA,NA,NA,NA,NA,NA,NA,86,549,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,66,410,401,25,8,15,5,18,32,21,77,76,433,372,16,11,10,18,20,17,75,78,438,370,15,9,11,11,12,18,79,72,427,383,15,16,30,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Grand Rapids Ward 1 Precinct 17",2352,1170,"49%",347,726,23,13,29,3,374,696,36,22,381,639,38,17,35,386,706,13,23,9,NA,NA,NA,435,646,41,NA,NA,NA,NA,NA,NA,NA,357,704,22,31,NA,NA,NA,NA,NA,NA,NA,351,707,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,276,563,541,42,37,21,6,33,51,32,312,280,524,497,26,39,17,45,40,21,293,299,564,482,48,35,26,14,31,17,303,284,510,504,44,38,58,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Grand Rapids Ward 1 Precinct 18",1152,438,"38%",38,365,7,2,7,1,38,367,8,7,37,349,18,6,9,44,364,5,12,3,NA,NA,NA,48,363,6,NA,NA,NA,NA,NA,NA,NA,35,363,7,15,NA,NA,NA,NA,NA,NA,NA,35,370,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,30,297,283,11,8,9,5,13,17,10,44,31,279,291,9,5,4,16,9,8,29,37,313,265,12,4,11,4,3,11,36,34,280,271,9,10,21,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Grand Rapids Ward 1 Precinct 19",2134,990,"46%",245,666,32,5,15,5,252,642,44,14,268,581,51,15,23,294,614,16,31,8,NA,NA,NA,334,580,37,NA,NA,NA,NA,NA,NA,NA,264,626,29,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,636,NA,NA,NA,NA,NA,NA,NA,228,210,506,502,62,35,17,11,37,42,34,228,208,476,470,45,37,23,38,46,25,213,217,509,444,63,39,22,16,31,29,245,213,481,460,54,37,47,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Grand Rapids Ward 1 Precinct 20",2160,1614,"74%",780,769,21,6,14,4,778,767,28,13,839,662,34,10,21,801,774,4,12,8,NA,NA,NA,873,671,25,NA,NA,NA,NA,NA,NA,NA,782,752,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,805,728,NA,NA,NA,NA,NA,NA,NA,704,633,619,583,41,28,22,13,26,35,27,698,624,589,565,32,24,14,36,29,26,646,627,608,561,45,34,22,18,27,25,686,615,563,526,37,32,41,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648,808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Grand Rapids Ward 1 Precinct 21",1827,1363,"74%",702,626,20,2,2,3,696,604,30,7,745,529,35,7,18,753,579,4,11,6,NA,NA,NA,783,521,32,NA,NA,NA,NA,NA,NA,NA,731,586,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742,573,NA,NA,NA,NA,NA,NA,NA,637,590,456,445,56,34,17,8,18,30,20,630,594,440,411,29,31,9,28,19,21,604,592,450,417,35,45,19,16,13,14,624,560,414,404,40,35,37,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,726,510,NA,NA,NA,NA,NA
"91","Grand Rapids Ward 1 Precinct 22",747,238,"31%",32,184,7,2,3,2,36,189,3,3,35,174,9,3,3,39,178,3,7,2,NA,NA,NA,42,175,6,NA,NA,NA,NA,NA,NA,NA,29,182,3,6,NA,NA,NA,NA,NA,NA,NA,34,187,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,22,143,143,8,6,4,2,6,13,11,25,21,149,156,4,2,1,6,5,3,21,24,155,136,3,6,8,4,5,7,26,22,151,137,6,2,14,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Grand Rapids Ward 1 Precinct 23",1820,1338,"73%",664,629,23,2,5,1,656,616,24,3,700,539,27,3,17,676,620,2,16,3,NA,NA,NA,751,526,15,NA,NA,NA,NA,NA,NA,NA,666,614,18,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,677,584,NA,NA,NA,NA,NA,NA,NA,594,547,500,477,43,27,19,6,24,32,16,579,540,478,450,24,26,14,29,22,21,552,560,478,439,33,36,18,12,12,16,582,514,465,433,35,21,34,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652,524,NA,NA,NA,NA,NA
"93","Grand Rapids Ward 1 Precinct 24",1782,479,"26%",41,404,8,6,13,1,35,403,11,9,30,381,27,7,11,50,389,4,12,5,NA,NA,NA,53,384,17,NA,NA,NA,NA,NA,NA,NA,34,383,10,25,NA,NA,NA,NA,NA,NA,NA,33,397,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,25,302,307,11,6,15,4,9,22,15,26,31,306,297,13,9,10,18,6,9,24,28,318,273,19,8,15,8,6,18,34,23,313,285,13,6,27,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Grand Rapids Ward 2 Precinct 25",1324,797,"60%",129,620,23,4,13,2,120,631,27,7,129,595,25,3,20,146,603,6,30,2,NA,NA,NA,161,601,15,NA,NA,NA,NA,NA,NA,NA,133,605,14,23,NA,NA,NA,NA,NA,NA,NA,116,617,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,111,505,506,29,22,11,3,30,26,17,112,101,508,457,28,25,13,6,37,19,106,104,511,478,26,21,8,9,25,14,114,103,484,470,36,27,16,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Grand Rapids Ward 2 Precinct 26",1710,1009,"59%",311,658,15,2,10,2,312,642,26,3,333,587,22,4,18,338,625,8,18,3,NA,NA,NA,362,600,22,NA,NA,NA,NA,NA,NA,NA,309,641,17,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,634,NA,NA,NA,NA,NA,NA,NA,276,251,526,503,33,25,16,7,22,33,18,281,251,516,480,25,24,7,14,29,20,262,251,518,481,30,24,19,13,24,17,270,239,498,485,30,21,32,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Grand Rapids Ward 2 Precinct 27",1297,757,"58%",192,519,23,2,10,3,191,511,30,11,209,456,32,7,20,218,506,5,14,3,NA,NA,NA,258,467,18,NA,NA,NA,NA,NA,NA,NA,206,503,20,10,NA,NA,NA,NA,NA,NA,NA,178,533,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,146,388,393,39,32,16,6,21,25,22,168,143,383,379,29,26,12,21,20,10,147,158,399,366,42,25,15,9,13,9,153,135,373,370,40,33,24,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Grand Rapids Ward 2 Precinct 28",2027,1159,"57%",299,798,26,13,8,3,300,772,43,18,328,725,35,13,22,325,765,17,22,9,NA,NA,NA,378,724,19,NA,NA,NA,NA,NA,NA,NA,307,779,30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,783,NA,NA,NA,NA,NA,NA,NA,266,244,647,628,53,50,24,11,26,40,23,278,253,614,593,44,39,23,38,29,15,247,249,646,595,48,41,28,17,30,15,278,239,597,599,50,39,36,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Grand Rapids Ward 2 Precinct 29",1926,806,"41%",171,586,19,3,13,2,162,573,28,18,169,550,29,12,13,199,546,6,26,8,NA,NA,NA,210,547,21,NA,NA,NA,NA,NA,NA,NA,170,566,22,13,NA,NA,NA,NA,NA,NA,NA,163,555,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,134,446,452,29,19,18,4,39,36,14,143,135,450,410,23,24,11,25,33,22,139,146,453,409,25,19,17,10,26,25,143,137,416,433,29,24,34,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Grand Rapids Ward 2 Precinct 30",1694,1248,"73%",325,870,25,5,8,4,327,863,32,7,349,797,38,7,23,368,838,5,20,6,NA,NA,NA,408,805,14,NA,NA,NA,NA,NA,NA,NA,372,828,23,6,NA,NA,NA,NA,NA,NA,NA,305,881,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,272,736,718,38,25,9,7,31,19,11,319,268,680,656,29,23,9,18,34,20,265,261,724,682,33,27,14,7,29,14,295,238,673,669,28,17,26,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Grand Rapids Ward 2 Precinct 31",2277,1205,"52%",321,794,41,8,17,7,306,796,56,12,337,714,61,11,24,343,774,18,32,12,NA,NA,NA,365,765,35,NA,NA,NA,NA,NA,NA,NA,308,797,40,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,819,NA,NA,NA,NA,NA,NA,NA,248,236,651,620,63,43,17,10,33,54,34,260,229,616,583,42,39,21,35,45,35,236,234,633,598,52,43,27,18,31,23,268,214,592,581,52,41,54,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
